                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 0.0573,                0.95614,                      1,                0.58899,              0.0006009,              0.0006009,              0.0006009
                     98,                0.05153,                 0.9386,                      1,                 0.6012,             0.00059972,             0.00059972,             0.00059972
                     99,                 0.0401,                0.95614,                      1,                0.60083,             0.00059855,             0.00059855,             0.00059855
                    100,                0.04182,                0.94737,                      1,                0.60962,             0.00059737,             0.00059737,             0.00059737
                    101,                0.04009,                0.96491,                      1,                0.58923,             0.00059619,             0.00059619,             0.00059619
                    102,                0.04094,                0.95614,                      1,                0.59595,             0.00059501,             0.00059501,             0.00059501
                    103,                 0.0253,                0.97368,                      1,                0.58569,             0.00059383,             0.00059383,             0.00059383
                    104,                0.02699,                0.94737,                      1,                0.59729,             0.00059266,             0.00059266,             0.00059266
                    105,                0.03018,                0.96491,                      1,                0.59351,             0.00059148,             0.00059148,             0.00059148
                    106,                0.04129,                0.95614,                      1,                0.59656,              0.0005903,              0.0005903,              0.0005903
                    107,                0.03684,                0.96491,                      1,                0.58899,             0.00058912,             0.00058912,             0.00058912
                    108,                0.04403,                0.96491,                      1,                0.58533,             0.00058794,             0.00058794,             0.00058794
                    109,                0.02745,                0.94737,                      1,                0.59131,             0.00058677,             0.00058677,             0.00058677
                    110,                0.01764,                0.96491,                      1,                0.58118,             0.00058559,             0.00058559,             0.00058559
                    111,                 0.0217,                0.97368,                      1,                0.59973,             0.00058441,             0.00058441,             0.00058441
                    112,                0.03315,                0.91228,                      1,                0.62073,             0.00058323,             0.00058323,             0.00058323
                    113,                0.05221,                0.95614,                      1,                0.61072,             0.00058205,             0.00058205,             0.00058205
                    114,                0.04528,                0.95614,                      1,                0.59973,             0.00058087,             0.00058087,             0.00058087
                    115,                0.02374,                0.97368,                      1,                0.58789,              0.0005797,              0.0005797,              0.0005797
                    116,                0.02305,                0.96491,                      1,                0.57812,             0.00057852,             0.00057852,             0.00057852
                    117,                0.04672,                0.98246,                      1,                0.57507,             0.00057734,             0.00057734,             0.00057734
                    118,                0.04037,                0.95614,                      1,                0.60046,             0.00057616,             0.00057616,             0.00057616
                    119,                0.03174,                0.97368,                      1,                0.59106,             0.00057498,             0.00057498,             0.00057498
                    120,                0.03415,                0.94737,                      1,                0.60083,             0.00057381,             0.00057381,             0.00057381
                    121,                0.03201,                0.92982,                      1,                 0.6073,             0.00057263,             0.00057263,             0.00057263
                    122,                0.04184,                 0.9386,                      1,                0.59204,             0.00057145,             0.00057145,             0.00057145
                    123,                0.03348,                0.99123,                      1,                0.56897,             0.00057027,             0.00057027,             0.00057027
                    124,                 0.0286,                0.96491,                      1,                0.58923,             0.00056909,             0.00056909,             0.00056909
                    125,                 0.0374,                0.96491,                      1,                0.59106,             0.00056792,             0.00056792,             0.00056792
                    126,                0.03722,                0.96491,                      1,                0.58875,             0.00056674,             0.00056674,             0.00056674
                    127,                0.06763,                0.94737,                      1,                0.59741,             0.00056556,             0.00056556,             0.00056556
                    128,                0.05423,                 0.9386,                      1,                0.61145,             0.00056438,             0.00056438,             0.00056438
                    129,                0.02131,                 0.9386,                      1,                0.60767,              0.0005632,              0.0005632,              0.0005632
