                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 0.0183,                0.92982,                      1,                0.60535,              0.0092327,              0.0092327,              0.0092327
                     95,                0.02952,                0.92982,                      1,                0.61133,              0.0092245,              0.0092245,              0.0092245
                     96,                0.01367,                0.94737,                      1,                0.59863,              0.0092163,              0.0092163,              0.0092163
                     97,                0.03153,                0.95614,                      1,                 0.5885,               0.009208,               0.009208,               0.009208
                     98,                0.02723,                0.94737,                      1,                0.59436,              0.0091997,              0.0091997,              0.0091997
                     99,                0.02817,                0.94737,                      1,                0.59729,              0.0091915,              0.0091915,              0.0091915
                    100,                0.02428,                0.96491,                      1,                0.58557,              0.0091833,              0.0091833,              0.0091833
                    101,                0.02912,                0.95614,                      1,                0.59021,               0.009175,               0.009175,               0.009175
                    102,                0.01947,                 0.9386,                      1,                0.60229,              0.0091667,              0.0091667,              0.0091667
                    103,                0.02176,                0.95614,                      1,                0.59717,              0.0091585,              0.0091585,              0.0091585
                    104,                0.02008,                0.95614,                      1,                0.59619,              0.0091503,              0.0091503,              0.0091503
                    105,                0.00842,                0.95614,                      1,                0.59619,               0.009142,               0.009142,               0.009142
                    106,                0.00846,                0.96491,                      1,                0.59045,              0.0091337,              0.0091337,              0.0091337
                    107,                0.01219,                0.96491,                      1,                0.58936,              0.0091255,              0.0091255,              0.0091255
                    108,                0.01802,                0.94737,                      1,                0.59204,              0.0091173,              0.0091173,              0.0091173
                    109,                0.01619,                0.97368,                      1,                0.58228,               0.009109,               0.009109,               0.009109
                    110,                0.01215,                0.96491,                      1,                0.58179,              0.0091007,              0.0091007,              0.0091007
                    111,                 0.0131,                0.95614,                      1,                0.60535,              0.0090925,              0.0090925,              0.0090925
                    112,                0.01901,                0.94737,                      1,                0.60754,              0.0090843,              0.0090843,              0.0090843
                    113,                0.00824,                0.95614,                      1,                0.59497,               0.009076,               0.009076,               0.009076
                    114,                0.01346,                0.94737,                      1,                0.59961,              0.0090677,              0.0090677,              0.0090677
                    115,                0.01603,                 0.9386,                      1,                0.61694,              0.0090595,              0.0090595,              0.0090595
                    116,                0.01037,                0.94737,                      1,                0.60913,              0.0090513,              0.0090513,              0.0090513
                    117,                0.00802,                 0.9386,                      1,                0.59827,               0.009043,               0.009043,               0.009043
                    118,                0.02411,                0.95614,                      1,                0.59961,              0.0090347,              0.0090347,              0.0090347
                    119,                0.01479,                0.95614,                      1,                0.59509,              0.0090265,              0.0090265,              0.0090265
                    120,                0.02985,                0.95614,                      1,                0.58716,              0.0090183,              0.0090183,              0.0090183
                    121,                0.01411,                0.95614,                      1,                0.59351,                0.00901,                0.00901,                0.00901
                    122,                0.01385,                0.94737,                      1,                0.59436,              0.0090018,              0.0090018,              0.0090018
                    123,                0.02126,                0.94737,                      1,                0.59692,              0.0089935,              0.0089935,              0.0089935
                    124,                0.01395,                0.95614,                      1,                0.59082,              0.0089853,              0.0089853,              0.0089853
                    125,                0.01248,                0.95614,                      1,                0.60107,               0.008977,               0.008977,               0.008977
                    126,                0.01078,                0.94737,                      1,                0.59753,              0.0089688,              0.0089688,              0.0089688
                    127,                0.00934,                0.95614,                      1,                0.59412,              0.0089605,              0.0089605,              0.0089605
                    128,                 0.0167,                0.95614,                      1,                0.59521,              0.0089523,              0.0089523,              0.0089523
                    129,                0.01395,                0.94737,                      1,                0.59338,               0.008944,               0.008944,               0.008944
                    130,                0.01142,                0.95614,                      1,                0.58813,              0.0089358,              0.0089358,              0.0089358
                    131,                0.01189,                0.95614,                      1,                0.59424,              0.0089275,              0.0089275,              0.0089275
                    132,                0.01872,                0.95614,                      1,                0.58813,              0.0089193,              0.0089193,              0.0089193
                    133,                0.01447,                0.95614,                      1,                0.59924,               0.008911,               0.008911,               0.008911
                    134,                0.01992,                0.94737,                      1,                0.60449,              0.0089028,              0.0089028,              0.0089028
                    135,                0.01686,                0.95614,                      1,                0.58997,              0.0088945,              0.0088945,              0.0088945
                    136,                 0.0186,                0.95614,                      1,                0.59229,              0.0088863,              0.0088863,              0.0088863
                    137,                0.01588,                0.94737,                      1,                0.60107,               0.008878,               0.008878,               0.008878
                    138,                0.00935,                0.95614,                      1,                0.61572,              0.0088698,              0.0088698,              0.0088698
                    139,                0.00668,                0.94737,                      1,                0.60193,              0.0088615,              0.0088615,              0.0088615
                    140,                0.00727,                0.94737,                      1,                0.60486,              0.0088533,              0.0088533,              0.0088533
                    141,                0.01285,                0.94737,                      1,                0.60083,               0.008845,               0.008845,               0.008845
                    142,                0.01213,                0.94737,                      1,                0.60913,              0.0088368,              0.0088368,              0.0088368
                    143,                0.01508,                0.95614,                      1,                0.59546,              0.0088285,              0.0088285,              0.0088285
                    144,                0.01405,                0.96491,                      1,                0.59009,              0.0088202,              0.0088202,              0.0088202
                    145,                0.01377,                0.96491,                      1,                0.58521,               0.008812,               0.008812,               0.008812
                    146,                0.01411,                0.97368,                      1,                0.58386,              0.0088038,              0.0088038,              0.0088038
                    147,                0.00772,                0.95614,                      1,                0.59436,              0.0087955,              0.0087955,              0.0087955
                    148,                0.00848,                0.96491,                      1,                 0.5907,              0.0087872,              0.0087872,              0.0087872
                    149,                0.01194,                0.95614,                      1,                0.60156,               0.008779,               0.008779,               0.008779
                    150,                0.01381,                0.97368,                      1,                 0.5918,              0.0087708,              0.0087708,              0.0087708
                    151,                0.02067,                0.97368,                      1,                0.58154,              0.0087625,              0.0087625,              0.0087625
                    152,                 0.0129,                0.97368,                      1,                0.58667,              0.0087542,              0.0087542,              0.0087542
                    153,                0.01017,                0.94737,                      1,                0.59497,               0.008746,               0.008746,               0.008746
                    154,                0.00804,                0.95614,                      1,                0.59155,              0.0087378,              0.0087378,              0.0087378
                    155,                0.00223,                0.94737,                      1,                0.58826,              0.0087295,              0.0087295,              0.0087295
                    156,                0.01172,                0.97368,                      1,                0.58875,              0.0087212,              0.0087212,              0.0087212
                    157,                0.01355,                0.95614,                      1,                 0.5957,               0.008713,               0.008713,               0.008713
                    158,                0.01239,                0.96491,                      1,                0.58679,              0.0087048,              0.0087048,              0.0087048
                    159,                0.02027,                0.97368,                      1,                0.58899,              0.0086965,              0.0086965,              0.0086965
                    160,                0.01007,                0.95614,                      1,                0.59241,              0.0086882,              0.0086882,              0.0086882
                    161,                0.01074,                0.97368,                      1,                0.58667,                0.00868,                0.00868,                0.00868
                    162,                0.01448,                0.96491,                      1,                0.59033,              0.0086718,              0.0086718,              0.0086718
                    163,                0.01145,                0.95614,                      1,                0.59143,              0.0086635,              0.0086635,              0.0086635
                    164,                0.00613,                0.95614,                      1,                0.59253,              0.0086552,              0.0086552,              0.0086552
                    165,                0.00703,                0.97368,                      1,                0.58728,               0.008647,               0.008647,               0.008647
                    166,                 0.0074,                0.94737,                      1,                0.59485,              0.0086388,              0.0086388,              0.0086388
                    167,                0.00908,                0.94737,                      1,                 0.5968,              0.0086305,              0.0086305,              0.0086305
                    168,                0.00797,                 0.9386,                      1,                0.60474,              0.0086222,              0.0086222,              0.0086222
                    169,                0.01653,                0.95614,                      1,                0.59595,               0.008614,               0.008614,               0.008614
                    170,                0.01308,                0.94737,                      1,                0.60034,              0.0086058,              0.0086058,              0.0086058
                    171,                 0.0264,                0.96491,                      1,                0.58398,              0.0085975,              0.0085975,              0.0085975
                    172,                0.01261,                0.95614,                      1,                 0.5929,              0.0085893,              0.0085893,              0.0085893
                    173,                0.00821,                0.95614,                      1,                0.58936,               0.008581,               0.008581,               0.008581
                    174,                0.03017,                0.95614,                      1,                0.59399,              0.0085728,              0.0085728,              0.0085728
                    175,                0.00378,                0.97368,                      1,                0.58008,              0.0085645,              0.0085645,              0.0085645
                    176,                0.01204,                0.97368,                      1,                0.59448,              0.0085562,              0.0085562,              0.0085562
                    177,                0.01129,                0.96491,                      1,                0.57874,               0.008548,               0.008548,               0.008548
                    178,                 0.0093,                0.97368,                      1,                0.58301,              0.0085398,              0.0085398,              0.0085398
